"Date","Time","PM10","Status","Unit"
"03-01-2021","03:00",18.358,"R","ugm-3 (Ref.eq)"
"03-01-2021","04:00",7.73,"R","ugm-3 (Ref.eq)"
"03-01-2021","05:00",4.831,"R","ugm-3 (Ref.eq)"
"03-01-2021","06:00",4.831,"R","ugm-3 (Ref.eq)"
"03-01-2021","07:00",6.763,"R","ugm-3 (Ref.eq)"
"03-01-2021","08:00",7.73,"R","ugm-3 (Ref.eq)"
"03-01-2021","09:00",5.797,"R","ugm-3 (Ref.eq)"
"03-01-2021","10:00",8.696,"R","ugm-3 (Ref.eq)"
"03-01-2021","11:00",7.73,"R","ugm-3 (Ref.eq)"
"03-01-2021","12:00",8.696,"R","ugm-3 (Ref.eq)"
"03-01-2021","13:00",6.763,"R","ugm-3 (Ref.eq)"
"03-01-2021","14:00",8.696,"R","ugm-3 (Ref.eq)"
"03-01-2021","15:00",9.662,"R","ugm-3 (Ref.eq)"
"03-01-2021","16:00",14.493,"R","ugm-3 (Ref.eq)"
"03-01-2021","17:00",11.594,"R","ugm-3 (Ref.eq)"
"03-01-2021","18:00",9.662,"R","ugm-3 (Ref.eq)"
"03-01-2021","19:00",12.561,"R","ugm-3 (Ref.eq)"
"03-01-2021","20:00",6.763,"R","ugm-3 (Ref.eq)"
"03-01-2021","21:00",9.662,"R","ugm-3 (Ref.eq)"
"03-01-2021","22:00",13.527,"R","ugm-3 (Ref.eq)"
"03-01-2021","23:00",16.425,"R","ugm-3 (Ref.eq)"
"03-01-2021","24:00",13.527,"R","ugm-3 (Ref.eq)"
"29-11-2021","01:00",NA,"R","ugm-3 (Ref.eq)"
"29-11-2021","02:00",NA,"R","ugm-3 (Ref.eq)"
"29-11-2021","03:00",NA,"R","ugm-3 (Ref.eq)"
"29-11-2021","04:00",NA,"R","ugm-3 (Ref.eq)"
"29-11-2021","05:00",NA,"R","ugm-3 (Ref.eq)"
"29-11-2021","06:00",NA,"R","ugm-3 (Ref.eq)"
"29-11-2021","07:00",NA,"R","ugm-3 (Ref.eq)"
"29-11-2021","08:00",NA,"R","ugm-3 (Ref.eq)"
"29-11-2021","09:00",NA,"R","ugm-3 (Ref.eq)"
"29-11-2021","10:00",NA,"R","ugm-3 (Ref.eq)"
"29-11-2021","11:00",NA,"R","ugm-3 (Ref.eq)"
"29-11-2021","12:00",NA,"R","ugm-3 (Ref.eq)"
"29-11-2021","13:00",39.614,"R","ugm-3 (Ref.eq)"
"29-11-2021","14:00",24.155,"R","ugm-3 (Ref.eq)"
"29-11-2021","15:00",26.087,"R","ugm-3 (Ref.eq)"
"29-11-2021","16:00",21.256,"R","ugm-3 (Ref.eq)"
"29-11-2021","17:00",22.223,"R","ugm-3 (Ref.eq)"
"29-11-2021","18:00",19.324,"R","ugm-3 (Ref.eq)"
"29-11-2021","19:00",26.087,"R","ugm-3 (Ref.eq)"
"29-11-2021","20:00",11.594,"R","ugm-3 (Ref.eq)"
"29-11-2021","21:00",7.73,"R","ugm-3 (Ref.eq)"
"29-11-2021","22:00",9.662,"R","ugm-3 (Ref.eq)"
"29-11-2021","23:00",8.696,"R","ugm-3 (Ref.eq)"
"29-11-2021","24:00",10.628,"R","ugm-3 (Ref.eq)"
"25-07-2022","01:00",16.425,"R","ugm-3 (Ref.eq)"
"25-07-2022","02:00",25.121,"R","ugm-3 (Ref.eq)"
"25-07-2022","03:00",19.324,"R","ugm-3 (Ref.eq)"
"25-07-2022","04:00",16.425,"R","ugm-3 (Ref.eq)"
"25-07-2022","05:00",19.324,"R","ugm-3 (Ref.eq)"
"25-07-2022","06:00",24.155,"R","ugm-3 (Ref.eq)"
"25-07-2022","07:00",17.392,"R","ugm-3 (Ref.eq)"
"25-07-2022","08:00",15.459,"R","ugm-3 (Ref.eq)"
"25-07-2022","09:00",16.425,"R","ugm-3 (Ref.eq)"
"25-07-2022","10:00",14.493,"R","ugm-3 (Ref.eq)"
"25-07-2022","11:00",21.256,"R","ugm-3 (Ref.eq)"
"25-07-2022","12:00",17.392,"R","ugm-3 (Ref.eq)"
"25-07-2022","13:00",14.493,"R","ugm-3 (Ref.eq)"
"25-07-2022","14:00",15.459,"R","ugm-3 (Ref.eq)"
"25-07-2022","15:00",12.561,"R","ugm-3 (Ref.eq)"
"25-07-2022","16:00",12.561,"R","ugm-3 (Ref.eq)"
"25-07-2022","17:00",15.459,"R","ugm-3 (Ref.eq)"
"25-07-2022","18:00",13.527,"R","ugm-3 (Ref.eq)"
"25-07-2022","19:00",11.594,"R","ugm-3 (Ref.eq)"
"25-07-2022","20:00",9.662,"R","ugm-3 (Ref.eq)"
"25-07-2022","21:00",9.662,"R","ugm-3 (Ref.eq)"
"25-07-2022","22:00",6.763,"R","ugm-3 (Ref.eq)"
"25-07-2022","23:00",5.797,"R","ugm-3 (Ref.eq)"
"25-07-2022","24:00",8.696,"R","ugm-3 (Ref.eq)"
"24-07-2023","01:00",16.425,"R","ugm-3 (Ref.eq)"
"24-07-2023","02:00",13.527,"R","ugm-3 (Ref.eq)"
"24-07-2023","03:00",15.459,"R","ugm-3 (Ref.eq)"
"24-07-2023","04:00",16.425,"R","ugm-3 (Ref.eq)"
"24-07-2023","05:00",8.696,"R","ugm-3 (Ref.eq)"
"24-07-2023","06:00",10.628,"R","ugm-3 (Ref.eq)"
"24-07-2023","07:00",11.594,"R","ugm-3 (Ref.eq)"
"24-07-2023","08:00",11.594,"R","ugm-3 (Ref.eq)"
"24-07-2023","09:00",10.628,"R","ugm-3 (Ref.eq)"
"24-07-2023","10:00",13.527,"R","ugm-3 (Ref.eq)"
"24-07-2023","11:00",13.527,"R","ugm-3 (Ref.eq)"
"24-07-2023","12:00",16.425,"R","ugm-3 (Ref.eq)"
"24-07-2023","13:00",9.662,"R","ugm-3 (Ref.eq)"
"24-07-2023","14:00",8.696,"R","ugm-3 (Ref.eq)"
"24-07-2023","15:00",17.392,"R","ugm-3 (Ref.eq)"
"24-07-2023","16:00",10.628,"R","ugm-3 (Ref.eq)"
"24-07-2023","17:00",11.594,"R","ugm-3 (Ref.eq)"
"24-07-2023","18:00",13.527,"R","ugm-3 (Ref.eq)"
"24-07-2023","19:00",13.527,"R","ugm-3 (Ref.eq)"
"24-07-2023","20:00",12.561,"R","ugm-3 (Ref.eq)"
"24-07-2023","21:00",11.594,"R","ugm-3 (Ref.eq)"
"24-07-2023","22:00",13.527,"R","ugm-3 (Ref.eq)"
"24-07-2023","23:00",9.662,"R","ugm-3 (Ref.eq)"
"24-07-2023","24:00",13.527,"R","ugm-3 (Ref.eq)"
